STATION,riders_in
34 ST-PENN STA,140104.2987012987
GRD CNTRL-42 ST,121782.5974025974
34 ST-HERALD SQ,98827.53246753247
14 ST-UNION SQ,90099.84090909091
TIMES SQ-42 ST,87716.35714285714
23 ST,83747.98376623377
42 ST-PORT AUTH,80674.63961038961
FULTON ST,77993.34415584416
86 ST,76594.98701298701
125 ST,64645.12987012987
CANAL ST,63026.181818181816
59 ST-COLUMBUS,60960.48051948052
59 ST,56919.16558441558
96 ST,56492.88311688312
FLUSHING-MAIN,52277.98376623377
